finished,informed_consent,screener,age,gender,nationality,base_state,position_position,air_carrier_type,experience,total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,qo_l_1,qo_l_2,qo_l_3,qo_l_4,qo_l_5,qo_l_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
TRUE,YES,YES,29,Male,United States of America,Colorado,First Officer,Regional Airline,2,2400,Never served in the military,3,1,5,6,2,4,2,6,3,4,1,5,3,5,4,1,6,2,1,2,4,3,5,3,1,2,4,1,5,2,3,4,1,4,3,5,2,Maybe,3-4 years,Financial opportunity and different base options
TRUE,YES,YES,26,Male,Ethiopia,District of Columbia,First Officer,Regional Airline,2,840,Never served in the military,1,2,5,6,3,4,1,2,5,4,3,6,5,3,6,2,4,1,2,3,1,4,5,3,1,2,4,3,2,1,4,5,1,4,3,5,2,Maybe,1-2 years,Better pay and different experience
TRUE,YES,YES,28,Male,United States of America,Indiana,Captain,Regional Airline,2,2400,Never served in the military,1,3,4,5,2,6,2,4,3,5,1,6,4,6,2,1,5,3,1,2,5,4,3,2,3,1,4,5,1,2,3,4,5,3,1,4,2,Maybe,1-2 years,"Better quality of life, higher pay, larger area of operation(not just flying to the northeast)"
TRUE,YES,YES,33,Male,United States of America,Pennsylvania,First Officer,Regional Airline,1,1650,Never served in the military,3,1,4,6,2,5,2,5,3,6,1,4,1,4,6,3,5,2,1,2,5,3,4,3,2,1,4,4,5,2,1,3,4,3,2,5,1,Maybe,3-4 years,Fly for a legacy.
TRUE,YES,YES,63,Male,United States of America,New Jersey,First Officer,Regional Airline,7,4000,Never served in the military,5,4,6,3,1,2,2,3,5,6,1,4,2,4,5,1,6,3,1,5,2,3,4,3,1,2,4,5,1,2,4,3,5,2,3,4,1,Maybe,Within 1 year,"Just to try a diffeent kind of flying, maybe back to part 91"
TRUE,YES,YES,23,Male,United States of America,Kentucky,First Officer,Regional Airline,1,1900,Never served in the military,3,1,4,6,2,5,1,4,3,5,2,6,4,2,5,3,6,1,2,5,1,3,4,3,2,1,4,3,5,2,1,4,1,3,4,2,5,Yes,3-4 years,"Better quality of life, and compensation at a major airline."
TRUE,YES,YES,27,Male,United States of America,New York,First Officer,Regional Airline,4,1500,Never served in the military,1,3,5,6,2,4,1,5,2,4,3,6,4,5,3,2,6,1,2,3,1,5,4,3,1,4,2,3,4,5,1,2,5,3,1,2,4,Yes,1-2 years,Go to a legacy carrier
TRUE,YES,YES,30,Male,United States of America,Colorado,First Officer,Legacy/Mainline Part 121 Airline,8,5500,Never served in the military,3,1,5,6,2,4,2,5,3,4,1,6,2,3,5,6,4,1,1,4,2,5,3,3,1,2,4,5,4,1,2,3,4,3,2,5,1,No,NA,NA
TRUE,YES,YES,46,Male,United States of America,New York,Captain,Regional Airline,18,12000,Never served in the military,2,3,4,5,1,6,2,3,4,5,1,6,2,4,5,6,3,1,1,5,2,3,4,4,1,2,3,1,5,3,2,4,4,5,1,2,3,No,NA,NA
TRUE,YES,YES,23,Male,United States of America,New York,First Officer,Regional Airline,2,1500,Never served in the military,2,1,5,6,3,4,2,5,3,4,1,6,3,5,6,1,4,2,1,2,5,3,4,3,2,1,4,5,3,1,4,2,3,4,1,5,2,Yes,1-2 years,career progression to a mainline carrier
